province,confirmed cases,recovered cases,F0 (quarantined),F0(social),F1,Fn,Region,Risk,ma
Hà Nội,114,113,50,6,7,51,North,high,1
Hồ Chí Minh,59,55,33,6,4,16,South,high,79
Thái Bình,30,15,0,0,0,0,North,low,34
Bạc Liêu,21,21,21,0,0,0,South,low,95
Vĩnh Phúc,19,19,7,5,6,1,North,low,26
Ninh Bình,13,13,12,0,0,1,North,high,37
Bình Thuận,9,9,0,1,8,0,Central,high,60
Quảng Ninh,8,8,3,5,0,0,North,high,22
Đà Nẵng,6,6,3,2,1,0,Central,high,48
Đồng Tháp,5,5,5,0,0,0,South,intermediate,87
Bắc Giang,4,4,4,0,0,0,North,low,24
Hà Nam,4,4,0,0,0,4,North,intermediate,35
Hà Tĩnh,4,4,4,0,0,0,Central,high,42
Hải Dương,4,3,4,0,0,0,North,low,30
Tây Ninh,4,4,4,0,0,0,South,high,72
Quảng Nam,3,3,0,3,0,0,Central,high,49
Thanh Hóa,3,3,2,1,0,0,North,low,38
Cần Thơ,2,2,2,0,0,0,South,intermediate,92
Lào Cai,2,2,0,2,0,0,North,high,10
Ninh Thuận,2,2,0,1,1,0,Central,low,58
Thừa Thiên-Huế,2,2,0,1,1,0,Central,intermediate,46
Trà Vinh,2,2,2,0,0,0,South,low,84
Bắc Ninh,1,1,1,0,0,0,North,high,27
Bến Tre,1,1,1,0,0,0,South,low,83
Đồng Nai,1,1,0,0,0,1,South,intermediate,75
Hà Giang,1,1,0,0,0,1,North,low,2
Hưng Yên,1,1,0,0,0,1,North,low,33
Khánh Hòa,1,1,0,0,1,0,Central,high,56
Lai Châu,1,1,0,0,0,1,North,low,12
Thái Nguyên,1,1,0,0,0,1,North,intermediate,19
